customerID,Churn,InternetService,StreamingTV,tenure,Contract,MonthlyCharges
7569-NMZYQ,No,Fiber optic,Yes,72,Two year,118.75
8984-HPEMB,No,Fiber optic,Yes,71,Two year,118.65
5989-AXPUC,No,Fiber optic,Yes,68,Two year,118.6
5734-EJKXG,No,Fiber optic,Yes,61,One year,118.6
8199-ZLLSA,Yes,Fiber optic,Yes,67,One year,118.35
9924-JPRMC,No,Fiber optic,Yes,72,Two year,118.2
2889-FPWRM,Yes,Fiber optic,Yes,72,One year,117.8
3810-DVDQQ,No,Fiber optic,Yes,72,Two year,117.6
9739-JLPQJ,No,Fiber optic,Yes,72,Two year,117.5
2302-ANTDP,Yes,Fiber optic,Yes,48,Month-to-month,117.45
6904-JLBGY,No,Fiber optic,Yes,72,Two year,117.35
4282-MSACW,No,Fiber optic,Yes,68,One year,117.2
6650-BWFRT,No,Fiber optic,Yes,72,Two year,117.15
9788-HNGUT,No,Fiber optic,Yes,72,Two year,116.95
1488-PBLJN,No,Fiber optic,Yes,72,Two year,116.85
0017-IUDMW,No,Fiber optic,Yes,72,Two year,116.8
8628-MFKAX,No,Fiber optic,Yes,72,Two year,116.75
3680-CTHUH,No,Fiber optic,Yes,60,One year,116.6
3258-ZKPAI,No,Fiber optic,Yes,72,Two year,116.6
3795-CAWEX,No,Fiber optic,Yes,70,Two year,116.55
8016-NCFVO,No,Fiber optic,Yes,55,Month-to-month,116.5
3963-RYFNS,No,Fiber optic,Yes,72,Two year,116.45
0675-NCDYU,No,Fiber optic,Yes,72,Two year,116.4
0186-CAERR,No,Fiber optic,Yes,71,One year,116.3
8879-XUAHX,No,Fiber optic,Yes,71,Two year,116.25
4374-YMUSQ,No,Fiber optic,Yes,34,One year,116.25
4868-AADLV,No,Fiber optic,Yes,66,One year,116.25
9053-JZFKV,Yes,Fiber optic,Yes,67,Two year,116.2
9695-IDRZR,No,Fiber optic,Yes,34,Two year,116.15
7923-IYJWY,No,Fiber optic,Yes,67,Two year,116.1
8975-SKGRX,No,Fiber optic,Yes,71,Two year,116.1
2223-GDSHL,No,Fiber optic,Yes,71,Two year,116.05
8261-GWDBQ,No,Fiber optic,Yes,60,Two year,116.05
1480-BKXGA,No,Fiber optic,Yes,72,Two year,116.05
0106-UGRDO,No,Fiber optic,Yes,69,Two year,116.0
1741-WTPON,No,Fiber optic,Yes,56,Two year,115.85
0052-DCKON,No,Fiber optic,Yes,66,One year,115.8
8513-OLYGY,No,Fiber optic,Yes,72,Two year,115.8
5914-XRFQB,No,Fiber optic,Yes,72,Two year,115.8
6007-TCTST,No,Fiber optic,Yes,72,Two year,115.8
8606-CIQUL,No,Fiber optic,Yes,72,Two year,115.75
5451-YHYPW,No,Fiber optic,Yes,72,Two year,115.75
1444-VVSGW,Yes,Fiber optic,Yes,70,One year,115.65
